Signatura,Denominació comercial,Subgrups,Grups,Categoria,Inici d'activitat,Estat,Municipi,Localitat,Adreça,UTM (X),UTM(Y),Places,Nombre habitacions,Explotador/s,Columna amb nova georeferència
AG/1,SON FERRA,Agroturisme,Allotjaments,,30/06/1992,Alta,ESPORLES,Esporles,"ES VERGER KM.2,5, S/N. 07190 ESPORLES, Mallorca",463196.156274,4388008.79063,11,6,RENTA MEDITERRANEA SL (B07911803),POINT (2.571076234225061 39.64107150283998)
AG/100,SON SIURANA,Agroturisme,Allotjaments,,09/05/2001,Alta,ALCÚDIA,Alcúdia,"C-713 PALMA-ALCUDIA KM.45, S/N. 07400 ALCÚDIA, Mallorca",504229.32,4407189.07,41,17,CAN VERDAL SL (B57953127),POINT (3.0494137059305184 39.81467154150796)
AG/102,CAN RAIÓ,Agroturisme,Allotjaments,,28/05/2001,Alta,SENCELLES,Sencelles,"Polígon 12, PARCELA 119 (FINCA CAN RAIÓ). 07140 SENCELLES, Mallorca",491252.027815,4387853.68653,16,8,"SECTOR RURAL, SL (B57180739)",POINT (2.898049120030565 39.64042112234811)
AG/103,SA MANIGA,Agroturisme,Allotjaments,,11/06/2001,Alta,BUNYOLA,Bunyola,"AFORES. S/N. (7-PARCEL.LA 161), S/N. 07110 BUNYOLA, Mallorca",473748.08,4395039.76,12,6,FINCA SA MANIGA SL (B07966278),POINT (2.6937701570782906 39.704810814498515)
AG/104,S'HORT DE SA BAGURA,Agroturisme,Allotjaments,,29/06/2001,Alta,SANT LLORENÇ DES CARDASSAR,Sant Llorenç Del Cardassar,"DE SA BEGURA. PARCEL.LA 349,8, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca",524226.6060615,4389558.398385,28,11,AGROTURISME S'HORT DE SA BEGURA CB (E57054975),POINT (3.282403519422783 39.65548260126832)
AG/106,SON LLADO,Agroturisme,Allotjaments,,04/09/2001,Alta,CAMPOS,Campos,"Camí DES PALMER, KM 2,3, APT. 157, S/N. 07630 CAMPOS, Mallorca",500356.253308,4358815.25526,20,5,JOSE OLLERS ALCOVER,POINT (3.0041363176381366 39.378813075060876)
AG/107,SA PLETA PEROLA,Agroturisme,Allotjaments,,17/09/2001,Alta,LLUCMAJOR,Llucmajor,"17-PARCEL.LA, 236. 07620 LLUCMAJOR, Mallorca",496423.14,4372316.36,10,5,MICAELA OLIVER VAQUER,POINT (2.958398179363048 39.50045977556885)
AG/108,CA'S XORC,Agroturisme,Allotjaments,4 estrelles,24/10/2001,Alta,SÓLLER,Sóller,"Carretera DEIÀ - SÓLLER, ILLA 63, NÚMERO 238, S/N. 07100 SÓLLER, Mallorca",473020.78,4402563.18,30,15,HOTEL CA'S XORC SL (B07916018),POINT (2.684977817233504 39.77257469860693)
AG/109,SA ROTA DE'N PALERM,Agroturisme,Allotjaments,,28/02/2002,Alta,LLORET DE VISTALEGRE,Lloret De Vistalegre,"Carretera LLORET DE VISTA ALEGRE- MUNTUÏRI.KM 0,8. SA ROTA DE'N PALERM, S/N. 07518 LLORET DE VISTALEGRE, Mallorca",497964.085247,4385460.18039,22,8,SA ROTA DEN PALERM SL (B07983208)  des de 15/03/2019,POINT (2.976280330036993 39.61889704079455)
AG/110,BINICOMPRAT,Agroturisme,Allotjaments,,15/03/2002,Alta,ALGAIDA,Algaida,"Polígon 24-PARCELA,122. 07210 ALGAIDA, Mallorca",492741.97,4379064.26,24,11,MORGATUR SL (B07856446),POINT (2.915509515831279 39.56123868559885)
AG/111,SON PALOU,Agroturisme,Allotjaments,,17/04/2002,Alta,BUNYOLA,Orient,"Polígon 5, PARCEL.LES 8 - 10. 07349 Orient, BUNYOLA, Mallorca",479384.08,4398307.21,30,15,AGROTURISMO SON PALOU ORIENT SL (B57050510),POINT (2.75941145966054 39.734405838139175)
AG/112,MONNABER VELL,Agroturisme,Allotjaments,,02/05/2002,Alta,CAMPANET,Campanet,"TORRE DES COLOMS, POLIGON 10 PARC, 145. 07310 CAMPANET, Mallorca",495488.69,4404587.32,30,15,TORRE D'ES COLOMS SL (B07854243),POINT (2.9473095305139276 39.7912280478261)
AG/113,CASES DE SON DUC,Agroturisme,Allotjaments,,17/06/2002,Alta,ARTÀ,Artà,"Polígon 15, PARCEL.LA 179. 07570 ARTÀ, Mallorca",532939.55,4391884.62,8,4,"PAPA PIZZA JANIN, CB (E57256513)",POINT (3.3840823053256557 39.676150798377)
AG/114,ES RAFAL,Agroturisme,Allotjaments,,04/07/2002,Alta,MONTUÏRI,Montuïri,"Carretera LLORET, KM 1'5, POLIG.9, PARCEL.LA 282, S/N. 07230 MONTUÏRI, Mallorca",498548.53,4381887.12,18,8,ANTONIO RIBAS MOLL,POINT (2.983097302136481 39.58670345248345)
AG/115,SON ESTRANY,Agroturisme,Allotjaments,,04/07/2002,Alta,LLUCMAJOR,Llucmajor,"19-PARCEL.LA, 971. 07620 LLUCMAJOR, Mallorca",494796.02,4368590.14,24,12,JOSE LUIS SANCHEZ TELLEZ,POINT (2.9395025425924017 39.466875979555866)
AG/116,SES CASES DE CAS GARRIGUER,Agroturisme,Allotjaments,,30/07/2002,Alta,VALLDEMOSSA,Valldemossa,"VALLDEMOSSA A ANDRATX, KM 2,5, S/N. 07170 VALLDEMOSSA, Mallorca",465967.914209,4395524.19381,20,10,VISTAMAR DE VALLDEMOSSA SL (B07537392),POINT (2.6029909680381 39.70890076661664)
AG/117,SA CASA ROTJA,Agroturisme,Allotjaments,,01/07/2002,Alta,SINEU,Sineu,"SINEU-MURO, KM 3,2. POLIGON 7, PARCELAS 265, 266, 267, 268, S/N. 07510 SINEU, Mallorca",501820.03446,4388507.22653,24,7,PARADIS DES PLA SL (B57908428),POINT (3.021212914433994 39.646352554053884)
AG/118,CAN POMA,Agroturisme,Allotjaments,,03/09/2002,Alta,SÓLLER,Sóller,"SON FERRAGUT, S/N. 07100 SÓLLER, Mallorca",474848.879044,4402819.2752,12,6,CAN POMA SOLLER SL (B07844384),POINT (2.706313490267097 39.77493809961247)
AG/119,SANTA EULALIA,Agroturisme,Allotjaments,,13/11/2002,Alta,SANTA MARGALIDA,Santa Margalida,"SANTA MARGALIDA-ALCUDIA, KM 6. POL. 15. PARCEL.LA 3, S/N. 07450 SANTA MARGALIDA, Mallorca",513259.087971,4396805.83895,24,12,PROFITUR INVERSION SL (B07774003),POINT (3.1547041808455867 39.721024371607015)
AG/12,BALITX D'AVALL CAN GORDO,Agroturisme,Allotjaments,,27/05/1993,Alta,FORNALUTX,Fornalutx,"SOLLER-LLUC, S/N. 07109 FORNALUTX, Mallorca",478700.805311,4405176.22482,19,10,MIGUEL OLIVER Y PASTOR SL (B07709132),POINT (2.751215047195721 39.79627943684733)
AG/120,CAN BOTA,Agroturisme,Allotjaments,,25/11/2002,Alta,FELANITX,Felanitx,"DE SON AMARET, 128. 07200 FELANITX, Mallorca",512798.006841,4368947.82471,14,7,SIGRID SULZER,POINT (3.148786423312522 39.470019500311444)
AG/121,SON MARIMON,Agroturisme,Allotjaments,,25/02/2003,Alta,SANTANYÍ,Santanyí,"7 - PARCELA 780, S/N. 07650 SANTANYÍ, Mallorca",513974.01,4357646.43,18,9,ANTONIA FORTEZA GARI,POINT (3.1622220785229866 39.36816805644133)
AG/122,VALLDEMOSSA,Agroturisme,Allotjaments,,24/04/2003,Alta,VALLDEMOSSA,Valldemossa,"VELLA DE VALLDEMOSSA. 32-33 I PART DE LA 31, S/N. 07170 VALLDEMOSSA, Mallorca",467424.217887,4394961.29144,24,12,"UNION AGRICOLA Y TURISTICA, SL (B07438385)",POINT (2.620007272904996 39.70388582692958)
AG/123,SON BURGUET,Agroturisme,Allotjaments,,05/05/2003,Alta,PUIGPUNYENT,Puigpunyent,"PARCEL·LA 124, POLIGON 3, S/N. 07194 PUIGPUNYENT, Mallorca",462483.63,4385138.06,12,6,"CAN LLOETA, SL (B57597767)",POINT (2.5629352240522714 39.615174918508735)
AG/124,SA FRANQUESA VELLA,Agroturisme,Allotjaments,,06/05/2003,Alta,VILAFRANCA DE BONANY,Vilafranca De Bonany,"PETRA-FELANITX (PM 511, ENCREUAMENT SES BASSES) KM 3,8. POLIGONS 3 I 4, PARCEL.LES 1367,340 I 342, S/N. 07250 VILAFRANCA DE BONANY, Mallorca",512021.081924,4377118.34612,20,9,ANTONI BINIMELIS VALENS,POINT (3.139901666421035 39.543651547212576)
AG/125,CAN BENEÏT,Agroturisme,Allotjaments,5 estrelles,09/05/2003,Alta,SELVA,Caimari,"Polígon 13 PARCEL·LA 70. 07313 Caimari, SELVA, Mallorca",491826.536964,4402503.82995,20,10,"FINCA MIRABONA, SL (B02980563)  des de 04/08/2021",POINT (2.9045628867340993 39.77242822832715)
